strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Parabolic_SAR,XRPUSD,D1,12,66.67,19.03,41.57,2.8758,6.6674,-1.05,7.37,9.495,2.5131,11902.65
Bollinger,GBPJPY,D1,5,100.0,8.93,18.74,2.8026,0.0,0.0,inf,0.9729,0.0,10893.44
Stochastic,XAGUSD,D1,11,81.82,16.31,35.43,2.7545,1444.6355,-3.99,4.42,12.3567,8.2674,11631.31
EMA_Cross,USDCHF,H4,34,55.88,23.67,53.16,2.3583,2.1175,-8.33,1.86,0.5411,0.42,12366.85
Stochastic,NZDJPY,H4,60,60.0,28.83,66.25,2.2471,6.8732,-6.24,1.5,0.5793,0.5896,12882.58
EMA_Cross,EURUSD,D1,6,66.67,8.25,17.24,2.129,4.3374,-1.21,4.78,1.0257,0.4882,10825.0
MACD,USDCAD,D1,8,62.5,8.8,18.45,2.0968,2.2845,-3.35,3.13,0.8264,0.5167,10880.21
EMA_Cross,USDCAD,D1,9,55.56,9.08,19.06,2.0955,6.2327,-3.64,3.37,0.8222,0.3342,10908.2
EMA_Cross,XAUUSD,D1,4,75.0,6.96,14.45,2.0855,0.0,-0.96,7.88,5.0477,2.156,10695.89
EMA_Cross,ETHUSD,D1,6,83.33,10.75,22.61,2.0712,0.0,-2.03,5.92,7.3927,8.941,11075.04
RSI,NZDJPY,H4,20,65.0,15.12,32.67,2.0609,89.8367,-6.12,1.95,0.5699,0.564,11512.47
Bollinger,EURGBP,D1,8,75.0,5.91,12.22,2.0014,0.0,-2.12,3.42,0.4102,0.3,10591.11
Stochastic,GBPUSD,H4,53,60.38,24.86,56.13,1.9962,3.8821,-10.5,1.53,0.4334,0.4459,12485.68
Swing_SR,NZDJPY,D1,3,100.0,4.47,9.17,1.9767,0.0,0.0,inf,1.3747,0.0,10446.96
RSI,USDCAD,D1,3,66.67,4.5,9.24,1.9766,0.0,0.0,8.73,0.8166,0.1739,10450.32
Bollinger,GBPCHF,D1,3,66.67,3.63,7.43,1.9583,0.0,0.0,5.01,0.9886,0.3285,10363.49
Stochastic,NZDJPY,D1,9,77.78,10.19,21.49,1.9384,619.7283,-2.04,3.36,1.3992,1.4129,11018.55
Stochastic,CADJPY,D1,9,66.67,7.33,15.24,1.9366,73.3062,-2.08,2.19,1.2102,0.7801,10732.5
Stochastic,GBPUSD,D1,7,71.43,8.88,18.61,1.9014,478.1173,-2.04,3.04,1.3898,1.0526,10887.73
Swing_SR,GBPJPY,H4,19,78.95,8.98,18.83,1.8685,29.1923,-4.19,1.98,0.4122,0.6643,10897.92
EMA_Cross,BTCUSD,D1,6,66.67,7.91,16.4,1.8236,2.0781,-1.86,5.06,4.5474,3.1171,10790.67
RSI,EURUSD,D1,6,83.33,7.21,14.99,1.7228,0.0,-2.04,4.51,0.8358,0.7019,10720.8
EMA_Cross,EURAUD,D1,4,75.0,5.37,11.07,1.5734,0.0,-2.05,3.56,1.2268,1.294,10537.01
Stochastic,EURJPY,D1,5,80.0,5.73,11.82,1.5558,0.0,-2.07,3.7,0.8849,0.9189,10572.63
MACD,ETHUSD,D1,11,63.64,11.73,24.78,1.5548,1.1136,-3.04,2.94,7.0141,5.6716,11173.19
Parabolic_SAR,GBPAUD,D1,12,58.33,8.59,17.98,1.5507,2.4194,-2.54,1.94,1.2733,0.8935,10858.88
MACD,EURCHF,D1,9,55.56,6.93,14.39,1.4904,0.8306,-2.14,2.81,0.7413,0.3319,10692.64
MACD,XAGUSD,D1,9,44.44,6.03,12.47,1.4754,1.8467,-2.49,2.32,11.7005,5.8722,10603.14
EMA_Cross,USDJPY,D1,6,66.67,6.15,12.72,1.4561,34.5387,-2.06,2.46,1.2418,0.8514,10614.81
EMA_Cross,USDCAD,H4,20,55.0,10.69,22.61,1.4485,1.8391,-6.15,1.69,0.3065,0.2351,11069.16
MACD,AUDUSD,H4,59,47.46,15.26,32.97,1.4186,3.3294,-7.86,1.29,0.7042,0.4571,11525.52
Swing_SR,XAGUSD,D1,2,50.0,0.73,1.48,1.3977,0.0,0.0,1.89,18.5895,7.3025,10073.46
RSI,XAGUSD,D1,2,100.0,3.96,8.1,1.3977,0.0,0.0,inf,14.4526,0.0,10395.72
RSI,GBPUSD,D1,1,100.0,2.55,5.18,1.3923,0.0,0.0,inf,1.2923,0.0,10254.88
RSI,GBPJPY,D1,1,100.0,2.38,4.83,1.3923,0.0,0.0,inf,1.0927,0.0,10237.75
RSI,GBPCHF,D1,1,100.0,2.42,4.91,1.3923,0.0,0.0,inf,0.9595,0.0,10241.56
Swing_SR,EURCHF,D1,2,100.0,2.83,5.76,1.3923,0.0,0.0,inf,0.6773,0.0,10282.92
RSI,EURGBP,D1,1,100.0,2.36,4.8,1.3923,0.0,0.0,inf,0.7792,0.0,10236.28
Swing_SR,AUDUSD,D1,2,100.0,2.16,4.39,1.3923,0.0,0.0,inf,1.106,0.0,10216.46
Swing_SR,EURAUD,D1,1,100.0,1.25,2.53,1.3923,0.0,0.0,inf,1.0944,0.0,10125.41
RSI,NZDUSD,D1,2,100.0,4.04,8.28,1.3923,0.0,0.0,inf,1.3242,0.0,10404.37
Swing_SR,CADJPY,D1,2,50.0,0.41,0.82,1.3923,0.0,0.0,1.36,1.1026,1.2231,10040.92
EMA_Cross,EURCHF,D1,6,50.0,4.38,8.98,1.3572,0.7756,-2.49,2.62,0.8226,0.2785,10438.02
EMA_Cross,XAUUSD,H4,25,48.0,7.82,16.31,1.3439,2.2847,-7.2,1.36,2.0762,1.6355,10781.74
Stochastic,USDCHF,H4,57,54.39,15.3,33.06,1.3097,6.1714,-6.07,1.27,0.4848,0.4513,11529.63
Stochastic,EURUSD,H4,58,55.17,15.6,33.77,1.2986,4.3952,-9.98,1.28,0.4189,0.3718,11560.26
MACD,BTCUSD,H4,76,50.0,14.91,31.96,1.2414,1.6098,-10.55,1.21,2.4345,2.1455,11490.68
Swing_SR,GBPUSD,H4,17,70.59,4.86,10.0,1.1725,0.7304,-4.08,1.55,0.4262,0.5525,10486.5
EMA_Cross,GBPAUD,D1,5,60.0,3.9,7.97,1.1113,1.0439,-2.05,2.12,1.2211,0.9762,10389.66
MACD,XRPUSD,D1,11,63.64,7.71,15.99,1.1077,0.6144,-4.02,2.19,5.8699,6.2658,10771.44
Parabolic_SAR,EURGBP,D1,11,63.64,5.01,10.32,1.0972,1.1442,-6.2,1.69,0.5277,0.4896,10501.49
RSI,XAUUSD,D1,3,66.67,3.19,6.5,1.0664,0.0,-2.02,2.5,7.8616,4.3048,10318.78
EMA_Cross,AUDJPY,D1,4,75.0,4.23,8.68,1.0127,0.0,-2.04,3.03,1.3434,1.6164,10423.43
Bollinger,CADJPY,D1,6,66.67,3.67,7.5,0.9999,167.4027,-4.11,1.83,1.0559,0.7856,10367.13
